user_id,following_list
85113837,"['158052521', '230895128', '170170422', '77519421', '123128905', 'claviic', '147565271', 'akin', '64385151', '189812134', '179731030', '71290095', '140594033', '91788777', '62276083', 'group', 'Danilelavoie', '53219329', 'greygreygrey', '51415144', 'Hitachi', '49048529', 'auxt', '51421883', '147107183', '76204439', '131264613', 'fugen', 'chongbao', 'shinko', 'feifeiyu', 'pink_water', 'Hexuejun', 'qiusebolianbo', 'Gongzi_.Fox', '2128563', '50425234', 'ClearKing', '3729865', 'CheshireCatZYY', '72948612', 'tiffanyscode', '69898078', '164339701', 'kitajimajunko', 'MovieL', '40496645', 'kinglilychou', 'sue1020', '1797071', '78173205', 'wangxxno1', '124470700', '81965947', 'FRANCE.z', 'hanaeda', '91074425', '54756551', '52917041', 'yimaxxduck', '81527877', 'liangqi05', '82581768', 'qijiuzhiyue', 'dear7c', 'yalindongdong', 'tieliuwudi', 'fuyuwinter', '62923678', '120941130', 'bagualaile', 'Sim-Simi', 'Lantous', 'unico626', 'gogotroy', 'kissearth']"
,
iocye,"['197179884', '145847504', 'YQY77', 'mao0210', 'arkdome', '144590866', '50425234', '46789911', '209006461', '53868935', '175675001', '125872747', '138024919', '102627189', '214652321', '81925892', 'nezhaboy', 'K_ni9ht', '137574022', 'post-rocker', '185222478', 'vardis', '64419832', 'lottie9', 'doubanfilm', '172395694', 'mejiaqian', '35063378', '147608251', 'kirk1226', 'nancy-chan', '83492863', '131884836', '46258886', '124146842', '103043977', '1910834', 'sophiechou', 'Rolls-Royce', 'chenxiao2017', '28506921', 'yuantuan', '147845902', 'weilk', 'ahbei', '4671868', 'yinsebullet', '42188297', 'SpringCameras', '53034979', '87867417', '142167449', '161867991', '3540441', 'yimaxxduck', '64179743', '4820559', 'bagualaile', 'IsmuImzz', '67711186', '55504274', 'Sim-Simi', '35404244', 'zaooaz']"
,
103288887,"['259942591', '125523443', '196355719', 'doubanshiji', 'huacheng1', '172353433', 'B19950519', '185222478', '184873108', '3176883', '3540441', 'in55IWI', 'mr.lefty', 'xilouchen', 'LAMTANTAN', 'lazybobo', '93309304', 'ygdelx', 'guyi', '83450336', '120606000', '160458157', 'drawhelper', 'ruwang', '113894409', 'doubanfilm', '180441582', '180473770', '51415144', '54883420', 'zhenshigushi1', 'ahbei', 'zhangzongqian', 'hack045', '153306630', 'tieliuwudi', 'chenbolin', 'qijiuzhiyue', 'yimaxxduck', '1915050', '49241136', 'Sim-Simi']"
,
35893058,['180473770']
,
137986876,[]
,
103474402,"['249034240', '175028083', '243316279', '222254841', '35964281', 'adaland', 'momokozxl', '52726806', 'joearde', '176630756', 'diewithme', 'lhpjay830', '2289860', 'smmxy', 'Alage', '131401943', 'liuchang1010', '150668290', 'showlin.love', '119631799', '2824859', '137722483', '3465786', 'Lantous', 'lingya', 'iChara', 'FuckSmoking', 'houtouchong', 'Sim-Simi', 'fish3961120', 'nachtove', '80227742', 'viking7117', '68173145', 'suenan', 'mozart1900', 'bagualaile', '82088488', 'ju_san', 'FFFfff6688', '58846479']"
,
119113192,[]
,
144245138,"['2295891', '157266436', '150478195', '57100023', '157309382', '57392616', '46951035', '90424040', '157074859', '155637963', '144148314', '157001966', '149113856', '78116876', '53960370', '147426487', '135223815', 'Qyuuu', '89972633', '51711592', '150000821', '150206803', '135917264', '136471556', '155951479', '147936553', 'qijiuzhiyue', '59887029', '131474098', 'PhoebeGeGe', '45172632', '75940284', '134995532', '149411993', '154897059', '120583265', '148926293', 'yimaxxduck']"
,
